No;Kode;Nama Perusahaan;Tanggal Pencatatan;Saham;Papan Pencatatan
668;BESS;Batulicin Nusantara Maritim Tb;09/03/2020;3440455528;Pengembangan
669;CSMI;Cipta Selera Murni Tbk.;09/04/2020;816061500;Pemantauan Khusus
670;BBSS;Bumi Benowo Sukses Sejahtera T;15/04/2020;4800016020;Pengembangan
671;BHAT;Bhakti Multi Artha Tbk.;15/04/2020;5000000000;Pengembangan
672;CASH;Cashlez Worldwide Indonesia Tb;04/05/2020;1431125517;Akselerasi
673;TECH;Indosterling Technomedia Tbk.;04/06/2020;1256300000;Pengembangan
674;EPAC;Megalestari Epack Sentosaraya ;01/07/2020;3303400000;Pemantauan Khusus
675;UANG;Pakuan Tbk.;06/07/2020;1210000000;Pengembangan
676;PGUN;Pradiksi Gunatama Tbk.;07/07/2020;5737848882;Utama
677;SOFA;Boston Furniture Industries Tb;07/07/2020;1653574499;Akselerasi
678;PPGL;Prima Globalindo Logistik Tbk.;20/07/2020;771178020;Akselerasi
679;TOYS;Sunindo Adipersada Tbk.;06/08/2020;1435000712;Pemantauan Khusus
680;SGER;Sumber Global Energy Tbk.;10/08/2020;15586909438;Pengembangan
681;TRJA;Transkon Jaya Tbk.;27/08/2020;1510200000;Pengembangan
682;PNGO;Pinago Utama Tbk.;31/08/2020;781250000;Pengembangan
683;SCNP;Selaras Citra Nusantara Perkas;07/09/2020;2500000000;Pengembangan
684;BBSI;Krom Bank Indonesia Tbk.;07/09/2020;3637976068;Pengembangan
685;KMDS;Kurniamitra Duta Sentosa Tbk.;07/09/2020;800000000;Pengembangan
686;PURI;Puri Global Sukses Tbk.;08/09/2020;1000000000;Pengembangan
687;SOHO;Soho Global Health Tbk.;08/09/2020;12691682390;Pengembangan
688;HOMI;Grand House Mulia Tbk.;10/09/2020;1575000000;Pengembangan
689;ROCK;Rockfields Properti Indonesia ;10/09/2020;1435185100;Pemantauan Khusus
690;ENZO;Morenzo Abadi Perkasa Tbk.;14/09/2020;2162547122;Pemantauan Khusus
691;PLAN;Planet Properindo Jaya Tbk.;15/09/2020;896709596;Akselerasi
692;PTDU;Djasa Ubersakti Tbk.;08/12/2020;1500000000;Pemantauan Khusus
693;ATAP;Trimitra Prawara Goldland Tbk.;11/12/2020;1250000000;Pemantauan Khusus
694;VICI;Victoria Care Indonesia Tbk.;17/12/2020;6708000000;Utama
695;PMMP;Panca Mitra Multiperdana Tbk.;18/12/2020;2588300000;Pengembangan
696;WIFI;Solusi Sinergi Digital Tbk.;30/12/2020;2359355118;Pengembangan
697;FAPA;FAP Agri Tbk.;04/01/2021;3629411800;Pengembangan
698;DCII;DCI Indonesia Tbk.;06/01/2021;2383745900;Pengembangan
699;KETR;Ketrosden Triasmitra Tbk.;11/01/2021;2841262838;Pengembangan
700;DGNS;Diagnos Laboratorium Utama Tbk;15/01/2021;1250000000;Pengembangan
701;UFOE;Damai Sejahtera Abadi Tbk.;01/02/2021;2898261693;Pengembangan
702;BANK;Bank Aladin Syariah Tbk.;01/02/2021;14621943486;Pengembangan
703;WMUU;Widodo Makmur Unggas Tbk.;02/02/2021;12941176500;Pemantauan Khusus
704;EDGE;Indointernet Tbk.;08/02/2021;2020250000;Pengembangan
705;UNIQ;Ulima Nitra Tbk.;08/03/2021;3138983000;Utama
706;BEBS;Berkah Beton Sadaya Tbk.;10/03/2021;45000000000;Pemantauan Khusus
707;SNLK;Sunter Lakeside Hotel Tbk.;29/03/2021;450000000;Pengembangan
708;ZYRX;Zyrexindo Mandiri Buana Tbk.;30/03/2021;1333334556;Pengembangan
709;LFLO;Imago Mulia Persada Tbk.;07/04/2021;1307734937;Akselerasi
710;FIMP;Fimperkasa Utama Tbk.;09/04/2021;400000975;Pemantauan Khusus
711;TAPG;Triputra Agro Persada Tbk.;12/04/2021;19852540000;Utama
712;NPGF;Nusa Palapa Gemilang Tbk.;14/04/2021;3240235840;Pemantauan Khusus
713;LUCY;Lima Dua Lima Tiga Tbk.;05/05/2021;1514773893;Akselerasi
714;ADCP;Adhi Commuter Properti Tbk.;21/05/2021;22222222200;Pengembangan
715;HOPE;Harapan Duta Pertiwi Tbk.;24/05/2021;2130360203;Pemantauan Khusus
716;MGLV;Panca Anugrah Wisesa Tbk.;08/06/2021;1904883411;Akselerasi
717;TRUE;Triniti Dinamik Tbk.;10/06/2021;7571107860;Pemantauan Khusus
718;LABA;Green Power Group Tbk.;10/06/2021;1103402553;Pengembangan
719;ARCI;Archi Indonesia Tbk.;28/06/2021;24835000000;Pengembangan
720;IPAC;Era Graharealty Tbk.;30/06/2021;949868500;Akselerasi
721;MASB;Bank Multiarta Sentosa Tbk.;30/06/2021;1387737233;Pengembangan
722;BMHS;Bundamedik Tbk.;06/07/2021;8603416176;Utama
723;FLMC;Falmaco Nonwoven Industri Tbk.;08/07/2021;781250000;Akselerasi
724;NICL;PAM Mineral Tbk.;09/07/2021;10635644907;Pengembangan
725;UVCR;Trimegah Karya Pratama Tbk.;27/07/2021;2000144838;Pengembangan
726;BUKA;Bukalapak.com Tbk.;06/08/2021;103139380867;Ekonomi Baru
727;HAIS;Hasnur Internasional Shipping ;01/09/2021;2626250000;Pengembangan
728;OILS;Indo Oil Perkasa Tbk.;06/09/2021;454056563;Pengembangan
729;GPSO;Geoprima Solusi Tbk.;06/09/2021;666741103;Pengembangan
730;MCOL;Prima Andalan Mandiri Tbk.;07/09/2021;3555560000;Utama
731;RSGK;Kedoya Adyaraya Tbk.;08/09/2021;929675000;Pengembangan
732;RUNS;Global Sukses Solusi Tbk.;08/09/2021;983557875;Akselerasi
733;SBMA;Surya Biru Murni Acetylene Tbk;08/09/2021;929926282;Pengembangan
734;CMNT;Cemindo Gemilang Tbk.;08/09/2021;17125504000;Pengembangan
735;GTSI;GTS Internasional Tbk.;08/09/2021;15819142767;Pemantauan Khusus
736;IDEA;Idea Indonesia Akademi Tbk.;09/09/2021;1062437500;Akselerasi
737;KUAS;Ace Oldfields Tbk.;25/10/2021;1292808150;Pengembangan
738;BOBA;Formosa Ingredient Factory Tbk;01/11/2021;1155750000;Pengembangan
739;MTEL;Dayamitra Telekomunikasi Tbk.;22/11/2021;83559636344;Utama
740;DEPO;Caturkarda Depo Bangunan Tbk.;25/11/2021;6790000000;Pengembangan
741;BINO;Perma Plasindo Tbk.;25/11/2021;2275316111;Pengembangan
742;CMRY;Cisarua Mountain Dairy Tbk.;06/12/2021;7934683000;Utama
743;WGSH;Wira Global Solusi Tbk.;06/12/2021;1042500000;Akselerasi
744;TAYS;Jaya Swarasa Agung Tbk.;06/12/2021;1098920000;Pengembangan
745;WMPP;Widodo Makmur Perkasa Tbk.;06/12/2021;29419000000;Pemantauan Khusus
746;RMKE;RMK Energy Tbk.;07/12/2021;4375000000;Utama
747;OBMD;OBM Drilchem Tbk.;08/12/2021;805992931;Pengembangan
748;AVIA;Avia Avian Tbk.;08/12/2021;61953555600;Utama
749;IPPE;Indo Pureco Pratama Tbk.;09/12/2021;4600000000;Pemantauan Khusus
750;NASI;Wahana Inti Makmur Tbk.;13/12/2021;807400000;Pengembangan
751;BSML;Bintang Samudera Mandiri Lines;16/12/2021;1850225000;Pengembangan
752;DRMA;Dharma Polimetal Tbk.;20/12/2021;4705882300;Utama
753;ADMR;Adaro Minerals Indonesia Tbk.;03/01/2022;40882331500;Utama
754;SEMA;Semacom Integrated Tbk.;10/01/2022;1347258842;Pengembangan
755;ASLC;Autopedia Sukses Lestari Tbk.;25/01/2022;12746354780;Pengembangan
756;NETV;MDTV Media Technologies Tbk.;26/01/2022;41360517722;Pengembangan
757;BAUT;Mitra Angkasa Sejahtera Tbk.;28/01/2022;4800182969;Pemantauan Khusus
758;ENAK;Champ Resto Indonesia Tbk.;08/02/2022;2166666800;Pengembangan
759;NTBK;Nusatama Berkah Tbk.;09/02/2022;2700064877;Pengembangan
760;SMKM;Sumber Mas Konstruksi Tbk.;09/03/2022;1253000000;Akselerasi
761;STAA;Sumber Tani Agung Resources Tb;10/03/2022;10903372600;Utama
762;NANO;Nanotech Indonesia Global Tbk.;10/03/2022;4285440269;Akselerasi
763;BIKE;Sepeda Bersama Indonesia Tbk.;21/03/2022;1293916404;Pengembangan
764;WIRG;WIR ASIA Tbk.;04/04/2022;11938622394;Pengembangan
765;SICO;Sigma Energy Compressindo Tbk.;08/04/2022;910077764;Pengembangan
766;GOTO;GoTo Gojek Tokopedia Tbk.;11/04/2022;1140573267220;Ekonomi Baru
767;TLDN;Teladan Prima Agro Tbk.;12/04/2022;12946530200;Pengembangan
768;MTMH;Murni Sadar Tbk.;20/04/2022;2068526950;Utama
769;WINR;Winner Nusantara Jaya Tbk.;25/04/2022;5235316030;Pemantauan Khusus
770;IBOS;Indo Boga Sukses Tbk.;25/04/2022;8065789529;Akselerasi
771;OLIV;Oscar Mitra Sukses Sejahtera T;17/05/2022;1900073314;Akselerasi
772;ASHA;Cilacap Samudera Fishing Indus;27/05/2022;5000000000;Pemantauan Khusus
773;SWID;Saraswanti Indoland Developmen;07/07/2022;5385019201;Pengembangan
774;TRGU;Cerestar Indonesia Tbk.;08/07/2022;7945412700;Utama
775;ARKO;Arkora Hydro Tbk.;08/07/2022;2928495000;Pengembangan
776;CHEM;Chemstar Indonesia Tbk.;08/07/2022;1700014594;Pengembangan
777;DEWI;Dewi Shri Farmindo Tbk.;18/07/2022;2000000000;Pengembangan
778;AXIO;Tera Data Indonusa Tbk.;20/07/2022;5840126500;Pengembangan
779;KRYA;Bangun Karya Perkasa Jaya Tbk.;25/07/2022;1663943474;Pemantauan Khusus
780;HATM;Habco Trans Maritima Tbk.;26/07/2022;7000000000;Utama
781;RCCC;Utama Radar Cahaya Tbk.;02/08/2022;787500000;Akselerasi
782;GULA;Aman Agrindo Tbk.;03/08/2022;1070362500;Pengembangan
783;JARR;Jhonlin Agro Raya Tbk.;04/08/2022;9230665050;Utama
784;AMMS;Agung Menjangan Mas Tbk.;04/08/2022;1200071388;Akselerasi
785;BUAH;Segar Kumala Indonesia Tbk.;09/08/2022;1000000000;Pengembangan
786;CRAB;Toba Surimi Industries Tbk.;10/08/2022;1950000000;Pengembangan
787;MEDS;Hetzer Medical Indonesia Tbk.;10/08/2022;1562500000;Pengembangan
788;COAL;Black Diamond Resources Tbk.;07/09/2022;6250000000;Pemantauan Khusus
789;PRAY;Famon Awal Bros Sedaya Tbk.;08/11/2022;13959422300;Pengembangan
790;CBUT;Citra Borneo Utama Tbk.;08/11/2022;3125000000;Pengembangan
791;BELI;Global Digital Niaga Tbk.;08/11/2022;133863950989;Ekonomi Baru
792;MKTR;Menthobi Karyatama Raya Tbk.;08/11/2022;12052400022;Utama
793;OMED;Jayamas Medica Industri Tbk.;08/11/2022;27058850000;Utama
794;BSBK;Wulandari Bangun Laksana Tbk.;08/11/2022;25091882375;Utama
795;PDPP;Primadaya Plastisindo Tbk.;09/11/2022;3061341438;Pengembangan
796;KDTN;Puri Sentul Permai Tbk.;09/11/2022;1250023298;Pengembangan
797;ZATA;Bersama Zatta Jaya Tbk.;10/11/2022;8496000000;Pemantauan Khusus
798;NINE;Techno9 Indonesia Tbk.;05/12/2022;2157000000;Akselerasi
799;MMIX;Multi Medika Internasional Tbk;06/12/2022;2400212690;Pengembangan
800;PADA;Personel Alih Daya Tbk.;08/12/2022;3150000000;Pemantauan Khusus
801;ISAP;Isra Presisi Indonesia Tbk.;09/12/2022;4020101771;Akselerasi
802;VTNY;Venteny Fortuna International ;15/12/2022;6265193445;Utama
803;SOUL;Mitra Tirta Buwana Tbk.;06/01/2023;1082526223;Akselerasi
804;ELIT;Data Sinergitama Jaya Tbk.;06/01/2023;2031643057;Pengembangan
805;BEER;Jobubu Jarum Minahasa Tbk.;06/01/2023;4000000000;Pengembangan
806;CBPE;Citra Buana Prasida Tbk.;06/01/2023;1356250000;Pengembangan
807;SUNI;Sunindo Pratama Tbk.;09/01/2023;2500000000;Utama
808;CBRE;Cakra Buana Resources Energi T;09/01/2023;4538067441;Pemantauan Khusus
809;WINE;Hatten Bali Tbk.;10/01/2023;2710000000;Pengembangan
810;BMBL;Lavender Bina Cendikia Tbk.;11/01/2023;1030080995;Akselerasi
811;PEVE;Penta Valent Tbk.;24/01/2023;1765625000;Pengembangan
812;LAJU;Jasa Berdikari Logistics Tbk.;27/01/2023;2149942974;Pengembangan
813;FWCT;Wijaya Cahaya Timber Tbk.;01/02/2023;1875000000;Pengembangan
814;NAYZ;Hassana Boga Sejahtera Tbk.;06/02/2023;2550011472;Akselerasi
815;IRSX;Aviana Sinar Abadi Tbk.;07/02/2023;5000368388;Pemantauan Khusus
816;PACK;Abadi Nusantara Hijau Investam;08/02/2023;1597398988;Akselerasi
817;VAST;Vastland Indonesia Tbk.;08/02/2023;3055717394;Pengembangan
818;CHIP;Pelita Teknologi Global Tbk.;08/02/2023;806000000;Akselerasi
819;HALO;Haloni Jane Tbk.;08/02/2023;5650021533;Pengembangan
820;KING;Hoffmen Cleanindo Tbk.;16/02/2023;2600378605;Akselerasi
821;PGEO;Pertamina Geothermal Energy Tb;24/02/2023;41508024149;Utama
822;FUTR;Futura Energi Global Tbk.;27/02/2023;6635551959;Pengembangan
823;HILL;Hillcon Tbk.;01/03/2023;14741500000;Utama
824;BDKR;Berdikari Pondasi Perkasa Tbk.;03/03/2023;4725101522;Utama
825;PTMP;Mitra Pack Tbk.;06/03/2023;3169200000;Pengembangan
826;SAGE;Saptausaha Gemilangindah Tbk.;08/03/2023;8033527260;Pemantauan Khusus
827;TRON;Teknologi Karya Digital Nusa T;08/03/2023;2951328448;Pengembangan
828;CUAN;Petrindo Jaya Kreasi Tbk.;08/03/2023;11241890000;Utama
829;NSSS;Nusantara Sawit Sejahtera Tbk.;10/03/2023;23801568645;Pengembangan
830;GTRA;Grahaprima Suksesmandiri Tbk.;30/03/2023;1894375000;Pengembangan
831;HAJJ;Arsy Buana Travelindo Tbk.;05/04/2023;2417769199;Akselerasi
832;PIPA;Multi Makmur Lemindo Tbk.;10/04/2023;3426097190;Pemantauan Khusus
833;NCKL;Trimegah Bangun Persada Tbk.;12/04/2023;63098600000;Utama
834;MENN;Menn Teknologi Indonesia Tbk.;18/04/2023;1434052006;Akselerasi
835;AWAN;Era Digital Media Tbk.;18/04/2023;3435000000;Pengembangan
836;MBMA;Merdeka Battery Materials Tbk.;18/04/2023;107995419900;Pengembangan
837;RAAM;Tripar Multivision Plus Tbk.;08/05/2023;6813620000;Utama
838;DOOH;Era Media Sejahtera Tbk.;08/05/2023;7738891036;Pengembangan
839;JATI;Informasi Teknologi Indonesia ;08/05/2023;3262520106;Pengembangan
840;TYRE;King Tire Indonesia Tbk.;08/05/2023;3480581727;Pengembangan
841;MPXL;MPX Logistics International Tb;09/05/2023;2000014587;Pengembangan
842;SMIL;Sarana Mitra Luas Tbk.;12/05/2023;8751668239;Utama
843;KLAS;Pelayaran Kurnia Lautan Semest;12/06/2023;3644415975;Pengembangan
844;MAXI;Maxindo Karya Anugerah Tbk.;12/06/2023;9610088436;Pengembangan
845;VKTR;VKTR Teknologi Mobilitas Tbk.;19/06/2023;43750000000;Pengembangan
846;RELF;Graha Mitra Asia Tbk.;22/06/2023;5727832195;Akselerasi
847;AMMN;Amman Mineral Internasional Tb;07/07/2023;72518217656;Utama
848;CRSN;Carsurin Tbk.;10/07/2023;2892000000;Pengembangan
849;GRPM;Graha Prima Mentari Tbk.;10/07/2023;1545077020;Akselerasi
850;WIDI;Widiant Jaya Krenindo Tbk.;10/07/2023;1600031683;Akselerasi
851;TGUK;Platinum Wahab Nusantara Tbk.;10/07/2023;3571451815;Pengembangan
852;INET;Sinergi Inti Andalan Prima Tbk;24/07/2023;7958174250;Pemantauan Khusus
853;MAHA;Mandiri Herindo Adiperkasa Tbk;25/07/2023;16666000000;Utama
854;RMKO;Royaltama Mulia Kontraktorindo;31/07/2023;1250000000;Pengembangan
855;CNMA;Nusantara Sejahtera Raya Tbk.;02/08/2023;83345000000;Utama
856;FOLK;Multi Garam Utama Tbk.;07/08/2023;3948141464;Pengembangan
857;HBAT;Minahasa Membangun Hebat Tbk.;07/08/2023;1040740800;Akselerasi
858;GRIA;Ingria Pratama Capitalindo Tbk;08/08/2023;7375720674;Pengembangan
859;PPRI;Paperocks Indonesia Tbk.;08/08/2023;1075027288;Pengembangan
860;ERAL;Sinar Eka Selaras Tbk.;08/08/2023;5187500000;Utama
861;CYBR;ITSEC Asia Tbk.;08/08/2023;6632505568;Pengembangan
862;MUTU;Mutuagung Lestari Tbk.;09/08/2023;3142897825;Pengembangan
863;LMAX;Lupromax Pelumas Indonesia Tbk;09/08/2023;650008775;Akselerasi
864;HUMI;Humpuss Maritim Internasional ;09/08/2023;18046518215;Pengembangan
865;MSIE;Multisarana Intan Eduka Tbk.;10/08/2023;1460007754;Akselerasi
866;RSCH;Charlie Hospital Semarang Tbk.;28/08/2023;2650000000;Pengembangan
867;BABY;Multitrend Indo Tbk.;07/09/2023;2616226706;Pengembangan
868;AEGS;Anugerah Spareparts Sejahtera ;11/09/2023;1006080721;Akselerasi
869;IOTF;Sumber Sinergi Makmur Tbk.;06/10/2023;5290298067;Pengembangan
870;KOCI;Kokoh Exa Nusantara Tbk.;07/10/2023;4415595498;Pengembangan
871;PTPS;Pulau Subur Tbk.;09/10/2023;2167514856;Pengembangan
872;BREN;Barito Renewables Energy Tbk.;09/10/2023;133786220000;Utama
873;STRK;Lovina Beach Brewery Tbk.;10/10/2023;10721835562;Pengembangan
874;KOKA;Koka Indonesia Tbk.;11/10/2023;2861333000;Pengembangan
875;LOPI;Logisticsplus International Tb;11/10/2023;1100011289;Akselerasi
876;UDNG;Agro Bahari Nusantara Tbk.;31/10/2023;1750040072;Pemantauan Khusus
877;RGAS;Kian Santang Muliatama Tbk.;08/11/2023;1459234110;Pengembangan
878;MSTI;Mastersystem Infotama Tbk.;08/11/2023;3139416200;Utama
879;IKPM;Ikapharmindo Putramas Tbk.;08/11/2023;1684662500;Pengembangan
880;AYAM;Janu Putra Sejahtera Tbk.;30/11/2023;4000000000;Pengembangan
881;SURI;Maja Agung Latexindo Tbk.;07/12/2023;6334375000;Pengembangan
882;ASLI;Asri Karya Lestari Tbk.;05/01/2024;6250000000;Pengembangan
883;CGAS;Citra Nusantara Gemilang Tbk.;08/01/2024;1771499039;Pengembangan
884;NICE;Adhi Kartiko Pratama Tbk.;09/01/2024;6082020000;Pengembangan
885;MSJA;Multi Spunindo Jaya Tbk.;10/01/2024;5882352900;Utama
886;SMLE;Sinergi Multi Lestarindo Tbk.;10/01/2024;2328153048;Pengembangan
887;ACRO;Samcro Hyosung Adilestari Tbk.;11/01/2024;3469171367;Pengembangan
888;MANG;Manggung Polahraya Tbk.;11/01/2024;3812505282;Akselerasi
889;GRPH;Griptha Putra Persada Tbk.;17/01/2024;1000000000;Pengembangan
890;SMGA;Sumber Mineral Global Abadi Tb;30/01/2024;8750000000;Pengembangan
891;UNTD;Terang Dunia Internusa Tbk.;07/02/2024;6666666700;Pengembangan
892;TOSK;Topindo Solusi Komunika Tbk.;07/02/2024;4375277300;Pengembangan
893;MPIX;Mitra Pedagang Indonesia Tbk.;07/02/2024;1562500000;Pengembangan
894;ALII;Ancara Logistics Indonesia Tbk;07/02/2024;15825800000;Utama
895;MKAP;Multikarya Asia Pasifik Raya T;12/02/2024;3250000000;Pengembangan
896;MEJA;Harta Djaya Karya Tbk.;12/02/2024;1917500000;Akselerasi
897;LIVE;Homeco Victoria Makmur Tbk.;12/02/2024;4593005014;Pengembangan
898;HYGN;Ecocare Indo Pasifik Tbk.;13/02/2024;2525000000;Pengembangan
899;BAIK;Bersama Mencapai Puncak Tbk.;15/02/2024;1125000000;Pengembangan
900;VISI;Satu Visi Putra Tbk.;27/02/2024;3075000000;Pengembangan
901;AREA;Dunia Virtual Online Tbk.;01/04/2024;2539601000;Pengembangan
902;MHKI;Multi Hanna Kreasindo Tbk.;16/04/2024;3750000000;Pengembangan
903;ATLA;Atlantis Subsea Indonesia Tbk.;16/04/2024;6199577693;Pengembangan
904;DATA;Remala Abadi Tbk.;07/05/2024;1375000000;Pengembangan
905;SOLA;Xolare RCR Energy Tbk.;08/05/2024;3284500000;Pengembangan
906;BATR;Benteng Api Technic Tbk.;10/06/2024;3025032843;Pengembangan
907;SPRE;Soraya Berjaya Indonesia Tbk.;03/07/2024;800000000;Akselerasi
908;PART;Cipta Perdana Lancar Tbk.;05/07/2024;2720000000;Pengembangan
909;GOLF;Intra Golflink Resorts Tbk.;08/07/2024;19486760000;Utama
910;ISEA;Indo American Seafoods Tbk.;08/07/2024;1390008187;Pengembangan
911;BLES;Superior Prima Sukses Tbk.;08/07/2024;8890206400;Utama
912;GUNA;Gunanusa Eramandiri Tbk.;09/07/2024;2500000000;Pengembangan
913;LABS;UBC Medical Indonesia Tbk.;10/07/2024;3950000000;Pengembangan
914;DOSS;Global Sukses Digital Tbk.;07/08/2024;1725000000;Pengembangan
915;NEST;Esta Indonesia Tbk.;08/08/2024;4112500000;Pengembangan
916;PTMR;Master Print Tbk.;08/10/2024;1907000000;Pengembangan
917;VERN;Verona Indah Pictures Tbk.;08/10/2024;4765548644;Pengembangan
918;DAAZ;Daaz Bara Lestari Tbk.;11/11/2024;1997000000;Utama
919;BOAT;Newport Marine Services Tbk.;12/11/2024;3501680000;Pengembangan
920;NAIK;Adiwarna Anugerah Abadi Tbk.;13/11/2024;3290221840;Pengembangan
921;AADI;Adaro Andalan Indonesia Tbk.;05/12/2024;7786891760;Utama
922;MDIY;Daya Intiguna Yasa Tbk.;19/12/2024;25190392000;Utama
923;KSIX;Kentanix Supra International T;08/01/2025;2137831800;Utama
924;RATU;Raharja Energi Cepu Tbk.;08/01/2025;2715053800;Pengembangan
925;YOII;Asuransi Digital Bersama Tbk.;08/01/2025;3424687500;Pengembangan
926;HGII;Hero Global Investment Tbk.;09/01/2025;6500000000;Pengembangan
927;BRRC;Raja Roti Cemerlang Tbk.;09/01/2025;971500000;Pengembangan
928;DGWG;Delta Giri Wacana Tbk.;13/01/2025;5882353000;Utama
929;CBDK;Bangun Kosambi Sukses Tbk.;13/01/2025;5668944500;Utama
930;OBAT;Brigit Biofarmaka Teknologi Tb;13/01/2025;600000000;Pengembangan
931;MINE;Sinar Terang Mandiri Tbk.;10/03/2025;4084435300;Utama
932;KAQI;Jantra Grupo Indonesia Tbk.;10/03/2025;2075800000;Pengembangan
933;YUPI;Yupi Indo Jelly Gum Tbk.;25/03/2025;8544488700;Utama
934;FORE;Fore Kopi Indonesia Tbk.;14/04/2025;8918359270;Pengembangan
935;MDLA;Medela Potentia Tbk.;15/04/2025;14012825000;Utama
936;DKHH;Cipta Sarana Medika Tbk.;08/05/2025;2550000000;Pengembangan
937;SOSS;Shield On Service Tbk.;06/11/2018;799414231;Pengembangan
938;DEAL;Dewata Freightinternational Tb;11/11/2018;1146170959;Pemantauan Khusus
939;POLA;Pool Advista Finance Tbk.;16/11/2018;3351075600;Pemantauan Khusus
940;DIVA;Distribusi Voucher Nusantara T;27/11/2018;1428571400;Pengembangan
941;LUCK;Sentral Mitra Informatika Tbk.;28/11/2018;715749640;Pengembangan
942;URBN;Urban Jakarta Propertindo Tbk.;10/12/2018;3232122640;Pengembangan
943;SOTS;Satria Mega Kencana Tbk.;10/12/2018;1000003979;Pengembangan
944;AMAN;Makmur Berkah Amanda Tbk.;13/03/2020;3873500000;Pengembangan
945;CARE;Metro Healthcare Indonesia Tbk;13/03/2020;33250000000;Pengembangan
946;SAMF;Saraswanti Anugerah Makmur Tbk;31/03/2020;10250000000;Utama
947;SBAT;Sejahtera Bintang Abadi Textil;08/04/2020;4752982378;Pemantauan Khusus
948;KBAG;Karya Bersama Anugerah Tbk.;08/04/2020;7150002603;Pemantauan Khusus
949;CBMF;Cahaya Bintang Medan Tbk.;09/04/2020;1875000000;Pemantauan Khusus
950;RONY;Aesler Grup Internasional Tbk.;09/04/2020;1250000000;Pemantauan Khusus
951;RAFI;Sari Kreasi Boga Tbk.;05/08/2022;3128140475;Pemantauan Khusus
952;KKES;Kusuma Kemindo Sentosa Tbk.;08/08/2022;1500000000;Pemantauan Khusus
953;ELPI;Pelayaran Nasional Ekalya Purn;08/08/2022;7412000000;Utama
954;EURO;Estee Gold Feet Tbk.;08/08/2022;2548826428;Akselerasi
955;KLIN;Klinko Karya Imaji Tbk.;09/08/2022;1307530330;Akselerasi
956;TOOL;Rohartindo Nusantara Luas Tbk.;09/08/2022;2050020320;Pengembangan
